codice_istat;anno;abitanti
087008;2019;23208
087008;2020;23052
078016;2019;1248
078016;2020;1237
080009;2019;4142
080009;2020;4055
003018;2019;1297
003018;2020;1284
012014;2019;3284
012014;2020;3263
016026;2019;601
016026;2020;589
002011;2019;1915
002011;2020;1869
014008;2019;1306
014008;2020;1293
108009;2019;12107
108009;2020;12089
035004;2019;10164
035004;2020;10119
051004;2019;11902
051004;2020;11849
049001;2019;3200
049001;2020;3216
001025;2019;3455
001025;2020;3470
071006;2019;2697
071006;2020;2675
030011;2019;1835
030011;2020;1826
095014;2019;141
095014;2020;139
096004;2019;44316
096004;2020;44208
017018;2019;3798
017018;2020;3770
022015;2019;440
022015;2020;435
050001;2019;8391
050001;2020;8496
020004;2019;2003
013023;2019;4765
013023;2020;4721
015024;2019;7210
015024;2020;7169
072008;2019;2204
072008;2020;2193
096005;2019;894
096005;2020;874
007010;2019;229
007010;2020;225
017019;2019;1364
017019;2020;1339
091008;2019;530
091008;2020;510
064011;2019;3749
064011;2020;3685
082010;2019;4364
082010;2020;4304
110003;2019;54706
110003;2020;54629
066011;2019;210
066011;2020;208
067007;2019;1817
067007;2020;1773
078017;2019;10010
078017;2020;10010
006017;2019;1792
006017;2020;1802
012015;2019;4321
012015;2020;4344
072010;2019;11991
072010;2020;11939
072011;2019;52861
072011;2020;52546
072012;2019;11309
072012;2020;11276
091009;2019;2758
091009;2020;2733
084004;2019;3475
084004;2020;3401
080010;2019;1281
080010;2020;1242
013024;2019;1620
013024;2020;1682
022017;2019;1552
022017;2020;1546
016027;2019;75
016027;2020;76
056007;2019;3095
056007;2020;3059
013025;2019;280
013025;2020;285
013026;2019;1158
013026;2020;1192
082082;2019;950
082082;2020;926
028012;2019;2443
028012;2020;2438
033005;2019;3579
033005;2020;3564
001026;2019;542
001026;2020;547
003019;2019;1180
003019;2020;1135
078018;2019;1221
078018;2020;1195
002014;2019;175
002014;2020;168
022018;2019;398
022018;2020;387
012016;2019;2203
012016;2020;2205
098003;2019;1757
098003;2020;1753
015026;2019;4121
015026;2020;4105
010004;2019;4377
010004;2020;4419
103012;2019;187
103012;2020;184
003021;2019;1261
003021;2020;1266
009011;2019;2497
009011;2020;2514
070003;2019;7856
070003;2020;7677
011004;2019;7558
011004;2020;7508
016028;2019;6245
016028;2020;6361
015027;2019;36055
015027;2020;36187
001027;2019;2163
001027;2020;2131
037006;2019;393248
037006;2020;395416
068003;2019;1072
068003;2020;1059
082011;2019;4085
082011;2020;4061
043005;2019;142
043005;2020;143
091010;2019;2560
091010;2020;2536
056008;2019;3882
056008;2020;3832
016029;2019;6162
016029;2020;6172
003022;2019;1190
003022;2020;1164
024013;2019;6436
024013;2020;6381
021008;2019;107595
021008;2020;107843
056009;2019;1738
056009;2020;1695
069006;2019;754
069006;2020;753
085002;2019;538
085002;2020;522
082012;2019;1299
082012;2020;1294
036002;2019;10060
036002;2020;10070
095015;2019;1570
095015;2020;1540
011005;2019;826
011005;2020;832
016030;2019;9917
016030;2020;9984
016031;2019;6630
016031;2020;6630
023009;2019;1982
023009;2020;1966
038003;2019;14115
038003;2020;14090
022021;2019;671
022021;2020;660
062009;2019;1359
062009;2020;1366
070004;2019;1323
070004;2020;1298
019006;2019;1490
019006;2020;1457
078019;2019;2697
078019;2020;2682
064012;2019;2348
064012;2020;2304
090011;2019;950
090011;2020;954
090012;2019;3481
090012;2020;3480
090013;2019;3323
090013;2020;3301
004023;2019;99
004023;2020;100
057006;2019;605
057006;2020;602
025007;2019;797
025007;2020;823
030012;2019;726
030012;2020;711
008008;2019;10191
008008;2020;10154
019007;2019;593
019007;2020;573
034005;2019;705
034005;2020;687
035005;2019;5322
035005;2020;5314
018015;2019;2664
018015;2020;2632
001028;2019;11937
001028;2020;11907
082013;2019;7180
082013;2020;7126
008009;2019;428
008009;2020;420
006018;2019;1973
006018;2020;1955
011006;2019;919
011006;2020;903
098004;2019;4288
098004;2020;4336
009012;2019;4667
009012;2020;4629
040004;2019;2867
040004;2020;2892
079011;2019;7379
079011;2020;7308
001029;2019;583
001029;2020;588
009013;2019;2135
009013;2020;2119
046004;2019;7070
046004;2020;6974
022238;2019;2027
022238;2020;2006
002015;2019;2333
002015;2020;2307
016032;2019;1160
016032;2020;1151
022239;2019;716
022239;2020;718
